#9 Dream|John Lenno|#9 Dream by John Lennon|1975
Diamond Dogs|David Bowie|Diamond Dogs by David Bowie|1974
Diamonds And Rust|Judas Priest|Diamonds And Rust by Judas Priest|
Diary Of A Madman|Ozzy Osbourne|Diary Of A Madman by Ozzy Osbourne|1981
Dirty Deeds Done Dirt Cheap|AC/DC|Dirty Deeds Done Dirt Cheap by AC/DC|1976
Dirty Laundry|Don Henley|Dirty Laundry by Don Henley|1982
Dirty Water|The Standells|Dirty Water by The Standells|1966
Dirty White Boy|Foreigner|Dirty White Boy by Foreigner|1979
Dirty Work|Steely Dan|Dirty Work by Steely Dan|1977
Dissident|Pearl Jam|Dissident by Pearl Jam|1994
Dixie Chicken|Little Feat|Dixie Chicken by Little Feat|1973
Dixie/Sweet Home Alabama|Lynyrd Skynyrd|Dixie/Sweet Home Alabama by Lynyrd Skynyrd|1974
Do It Again|Steely Dan|Do It Again by Steely Dan|1972
Do Wah Diddy Diddy|Manfred Mann|Do Wah Diddy Diddy by Manfred Mann|1964
Do Ya|Electric Light Orchestra|Do Ya by Electric Light Orchestra|
Do You Feel Like We Do|Peter Frampton|Do You Feel Like We Do by Peter Frampton|1973
Do You Know What I Mean|Lee Michaels|Do You Know What I Mean by Lee Michaels|
Do You Remember Rock 'n' Roll Radio|The Ramones|Do You Remember Rock 'n' Roll Radio by The Ramones|1980
Doctor My Eyes|Jackson Browne|Doctor My Eyes by Jackson Browne|1972
Dog & Butterfly|Heart|Dog & Butterfly by Heart|
Dog Eat Dog|Ted Nugent|Dog Eat Dog by Ted Nugent|
Dog On A Leash|Adelitas Way|Dog On A Leash by Adelitas Way|2014
Dogs|Pink Floyd|Dogs by Pink Floyd|1977
Dolly Dagger|Jimi Hendrix|Dolly Dagger by Jimi Hendrix|1970
Domino|Van Morrison|Domino by Van Morrison|1970
Don't Ask Me No Questions|Lynyrd Skynyrd|Don't Ask Me No Questions by Lynyrd Skynyrd|1974
Don't Ask Me Why|Billy Joel|Don't Ask Me Why by Billy Joel|
Don't Believe Her|Scorpions|Don't Believe Her by Scorpions|
Don't Bring Me Down|Animals II|Don't Bring Me Down by Animals II|1966
Don't Bring Me Down|Electric Light Orchestra|Don't Bring Me Down by Electric Light Orchestra|1979
Don't Bring Me Down|The Animals|Don't Bring Me Down by The Animals|1966
Don't Come Around Here No More|Tom Petty & The Heartbreakers|Don't Come Around Here No More by Tom Petty & The Heartbreakers|1985
Don't Cry|Guns N' Roses|Don't Cry by Guns N' Roses|
Don't Do Me Like That|Tom Petty & The Heartbreakers|Don't Do Me Like That by Tom Petty & The Heartbreakers|1979
Don't Get Me Wrong|The Pretenders|Don't Get Me Wrong by The Pretenders|1986
Don't Go Away Mad (Just Go Away)|Motley Crue|Don't Go Away Mad (Just Go Away) by Motley Crue|1989
Don't Know What You Got|Cinderella|Don't Know What You Got by Cinderella|1988
Don't Let Him Go|REO Speedwagon|Don't Let Him Go by REO Speedwagon|
Don't Let Me Be Misunderstood|Animals II|Don't Let Me Be Misunderstood by Animals II|1965
Don't Let Me Down|The Beatles|Don't Let Me Down by The Beatles|1969
Don't Let The Sun Go Down On Me|Elton John|Don't Let The Sun Go Down On Me by Elton John|1974
Don't Look Back|Boston|Don't Look Back by Boston|1978
Don't Lose My Number|Phil Collins|Don't Lose My Number by Phil Collins|
Don't Stand So Close To Me|The Police|Don't Stand So Close To Me by The Police|1980
Don't Stop|Fleetwood Mac|Don't Stop by Fleetwood Mac|1977
Don't Stop Believin'|Journey|Don't Stop Believin' by Journey|1981
Don't Stop Me Now|Queen|Don't Stop Me Now by Queen|1977
Don't Tell Me You Love Me|Night Ranger|Don't Tell Me You Love Me by Night Ranger|1982
Don't You|Simple Minds|Don't You by Simple Minds|1985
Doo Doo Doo Doo Doo (Heartbreaker)|Rolling Stones|Doo Doo Doo Doo Doo (Heartbreaker) by Rolling Stones|1973
Doom And Gloom|Rolling Stones|Doom And Gloom by Rolling Stones|2012
Double Vision|Foreigner|Double Vision by Foreigner|1978
Down by the River|Neil Young|Down by the River by Neil Young|1969
Down By The Seaside|Led Zeppelin|Down By The Seaside by Led Zeppelin|1975
Down in a Hole|Alice In Chains|Down in a Hole by Alice In Chains|1992
Down On the Corner|Creedence Clearwater Revival|Down On the Corner by Creedence Clearwater Revival|1969
Down To The Waterline|Dire Straits|Down To The Waterline by Dire Straits|1978
Down Under|Men At Work|Down Under by Men At Work|1982
Dr. Feelgood|Motley Crue|Dr. Feelgood by Motley Crue|1989
Draw The Line|Aerosmith|Draw The Line by Aerosmith|1977
Dream On|Aerosmith|Dream On by Aerosmith|1973
Dream Police|Cheap Trick|Dream Police by Cheap Trick|
Dream Weaver|Gary Wright|Dream Weaver by Gary Wright|1975
Dreamboat Annie|Heart|Dreamboat Annie by Heart|1976
Dreamer|Foghat|Dreamer by Foghat|
Dreamer|Supertramp|Dreamer by Supertramp|1974
Dreams|Fleetwood Mac|Dreams by Fleetwood Mac|1977
Dreams|Van Halen|Dreams by Van Halen|1986
Dreams I'll Never See|Molly Hatchet|Dreams I'll Never See by Molly Hatchet|
Drift Away|Dobie Gray|Drift Away by Dobie Gray|1973
Drinkin' in the Driveway|Michael Stanley|Drinkin' in the Driveway by Michael Stanley|
Drive|The Cars|Drive by The Cars|1984
Drive My Car|The Beatles|Drive My Car by The Beatles|1965
Driven to Tears|The Police|Driven to Tears by The Police|1980
Driver's Seat|Sniff 'n' the Tears|Driver's Seat by Sniff 'n' the Tears|1978
Drop Dead Legs|Van Halen|Drop Dead Legs by Van Halen|
Dude (Looks Like a Lady)|Aerosmith|Dude (Looks Like a Lady) by Aerosmith|1987
Dumb|Nirvana|Dumb by Nirvana|1993
Dust In The Wind|Kansas|Dust In The Wind by Kansas|1977
Early 1970 [*]|Ringo Starr|Early 1970 [*] by Ringo Starr|1971
Easy Livin'|Uriah Heep|Easy Livin' by Uriah Heep|
Edge of a Broken Heart|Vixen|Edge of a Broken Heart by Vixen|
Edge of Seventeen|Stevie Nicks|Edge of Seventeen by Stevie Nicks|1981
Eight Days A Week|The Beatles|Eight Days A Week by The Beatles|1964
Eight Miles High|The Byrds|Eight Miles High by The Byrds|1966
Eighteen|Alice Cooper|Eighteen by Alice Cooper|1971
Elderly Woman Behind the Counter in a Small Town|Pearl Jam|Elderly Woman Behind the Counter in a Small Town by Pearl Jam|1993
Eleanor Rigby|The Beatles|Eleanor Rigby by The Beatles|1966
Elected|Alice Cooper|Elected by Alice Cooper|1973
Electric Eye|Judas Priest|Electric Eye by Judas Priest|1982
Eminence Front|The Who|Eminence Front by The Who|1982
Emotional Rescue|Rolling Stones|Emotional Rescue by Rolling Stones|1980
Empty Pages|Traffic|Empty Pages by Traffic|
Empty Spaces|Pink Floyd|Empty Spaces by Pink Floyd|1979
Empty Spaces/young Lust|Pink Floyd|Empty Spaces/young Lust by Pink Floyd|1979
End of the Line|The Traveling Wilburys|End of the Line by The Traveling Wilburys|1988
Enjoy the Silence|Depeche Mode|Enjoy the Silence by Depeche Mode|1990
Enter Sandman|Metallica|Enter Sandman by Metallica|1991
Entre Nous|Rush|Entre Nous by Rush|1980
Epic|Faith No More|Epic by Faith No More|1989
Eruption - You Really Got Me|Van Halen|Eruption - You Really Got Me by Van Halen|1978
Escape|Journey|Escape by Journey|
Europa|Santana|Europa by Santana|1977
Even Better Than the Real Thing|U2|Even Better Than the Real Thing by U2|1991
Even Flow|Pearl Jam|Even Flow by Pearl Jam|1991
Even It Up|Heart|Even It Up by Heart|
Even the Losers|Tom Petty & The Heartbreakers|Even the Losers by Tom Petty & The Heartbreakers|
Everlong|Foo Fighters|Everlong by Foo Fighters|1997
Every Breath You Take|The Police|Every Breath You Take by The Police|1983
Every Little Thing She Does Is Magic|The Police|Every Little Thing She Does Is Magic by The Police|1981
Every Picture Tells A Story|Rod Stewart|Every Picture Tells A Story by Rod Stewart|1971
Every Rose Has Its Thorn|Poison|Every Rose Has Its Thorn by Poison|1988
Everybody Knows This Is Nowhere|Neil Young|Everybody Knows This Is Nowhere by Neil Young|
Everybody Wants Some!!|Van Halen|Everybody Wants Some!! by Van Halen|1980
Everybody Wants to Rule the World|Tears for Fears|Everybody Wants to Rule the World by Tears for Fears|1985
Everybody Wants You|Billy Squier|Everybody Wants You by Billy Squier|
Everybody's Got Something To Hide Except Me And My Monk|The Beatles|Everybody's Got Something To Hide Except Me And My Monk by The Beatles|1968
Evil Ways|Santana|Evil Ways by Santana|1969
Evil Woman|Electric Light Orchestra|Evil Woman by Electric Light Orchestra|1975
Exodus|Bob Marley|Exodus by Bob Marley|
Expresso Love|Dire Straits|Expresso Love by Dire Straits|1980
Eye In the Sky|The Alan Parsons Project|Eye In the Sky by The Alan Parsons Project|1982
Eye of the Tiger|Survivor|Eye of the Tiger by Survivor|1982
Eyes Of A Stranger|Queensryche|Eyes Of A Stranger by Queensryche|
Eyes Without a Face|Billy Idol|Eyes Without a Face by Billy Idol|1984
Fade To Black|Metallica|Fade To Black by Metallica|1984
Fairies Wear Boots|Black Sabbath|Fairies Wear Boots by Black Sabbath|1970
Faithfully|Journey|Faithfully by Journey|1983
Fame|David Bowie|Fame by David Bowie|1975
Fantasy|Aldo Nova|Fantasy by Aldo Nova|
Fantasy Girl|.38 Special|Fantasy Girl by .38 Special|
Far Behind|Candlebox|Far Behind by Candlebox|1993
Fashion|David Bowie|Fashion by David Bowie|1980
Fat Bottomed Girls|Queen|Fat Bottomed Girls by Queen|1978
Fearless|Pink Floyd|Fearless by Pink Floyd|1971
Feel Like a Number|Bob Seger|Feel Like a Number by Bob Seger|
Feel Like Makin' Love|Bad Company|Feel Like Makin' Love by Bad Company|
Feel Your Love Tonight|Van Halen|Feel Your Love Tonight by Van Halen|
Feelin' Alright|Joe Cocker|Feelin' Alright by Joe Cocker|
Feelin' Satisfied|Boston|Feelin' Satisfied by Boston|
Feeling Stronger Every|Chicago|Feeling Stronger Every by Chicago|1973
Feeling That Way|Journey|Feeling That Way by Journey|1978
Feels Like the First Time|Foreigner|Feels Like the First Time by Foreigner|1977
Feels So Good|Van Halen|Feels So Good by Van Halen|
Fell On Black Days|Soundgarden|Fell On Black Days by Soundgarden|1994
Fight The Good Fight|Triumph|Fight The Good Fight by Triumph|
Find Your Way Back|Jefferson Starship|Find Your Way Back by Jefferson Starship|
Finding My Way|Rush|Finding My Way by Rush|
Finish What Ya Started|Van Halen|Finish What Ya Started by Van Halen|
Fire|Jimi Hendrix|Fire by Jimi Hendrix|1967
Fire and Ice|Pat Benatar|Fire and Ice by Pat Benatar|
Fire Down Below|Bob Seger|Fire Down Below by Bob Seger|1977
Fire On High|Electric Light Orchestra|Fire On High by Electric Light Orchestra|1975
Fire Woman|The Cult|Fire Woman by The Cult|1989
Five To One|The Doors|Five To One by The Doors|1968
Fixing A Hole|The Beatles|Fixing A Hole by The Beatles|1967
Flight Of Icarus|Iron Maiden|Flight Of Icarus by Iron Maiden|1983
Flirtin' With Disaster|Molly Hatchet|Flirtin' With Disaster by Molly Hatchet|
Fly|Sugar Ray|Fly by Sugar Ray|
Fly Away|Lenny Kravitz|Fly Away by Lenny Kravitz|1998
Fly By Night|Rush|Fly By Night by Rush|1975
Fly Like an Eagle|Steve Miller Band|Fly Like an Eagle by Steve Miller Band|1976
Fly To The Angels|Slaughter|Fly To The Angels by Slaughter|1990
Flying High Again|Ozzy Osbourne|Flying High Again by Ozzy Osbourne|1981
Fm {no Static At All}|Steely Dan|Fm {no Static At All} by Steely Dan|1978
Follow You Follow Me|Genesis|Follow You Follow Me by Genesis|1978
Fool For The City|Foghat|Fool For The City by Foghat|1975
Fool for Your Loving|Whitesnake|Fool for Your Loving by Whitesnake|1980
Fool In the Rain|Led Zeppelin|Fool In the Rain by Led Zeppelin|1979
Fooled Again (I Don't Like It)|Tom Petty & The Heartbreakers|Fooled Again (I Don't Like It) by Tom Petty & The Heartbreakers|
Fooled around and Fell in Love|Elvin Bishop|Fooled around and Fell in Love by Elvin Bishop|1975
Foolin'|Def Leppard|Foolin' by Def Leppard|
Fooling Yourself|Styx|Fooling Yourself by Styx|1977
For Those About To Rock|AC/DC|For Those About To Rock by AC/DC|1981
For What It's Worth|Buffalo Springfield|For What It's Worth by Buffalo Springfield|1966
For Whom The Bell Tolls|Metallica|For Whom The Bell Tolls by Metallica|1984
For Your Life|Led Zeppelin|For Your Life by Led Zeppelin|1976
Foreplay (Long Time)|Boston|Foreplay (Long Time) by Boston|1976
Forever Man|Eric Clapton|Forever Man by Eric Clapton|1985
Fortress Around Your Heart|Sting|Fortress Around Your Heart by Sting|1985
Fortunate Son|Creedence Clearwater Revival|Fortunate Son by Creedence Clearwater Revival|1970
Fortune Teller|Rolling Stones|Fortune Teller by Rolling Stones|
Found Out About You|Gin Blossoms|Found Out About You by Gin Blossoms|1993
Four Sticks|Led Zeppelin|Four Sticks by Led Zeppelin|1971
Fox On The Run|Sweet|Fox On The Run by Sweet|
Foxey Lady|Jimi Hendrix|Foxey Lady by Jimi Hendrix|1967
Frankenstein|Edgar Winter Group|Frankenstein by Edgar Winter Group|
Free Bird|Lynyrd Skynyrd|Free Bird by Lynyrd Skynyrd|1973
Free Fallin'|Tom Petty & The Heartbreakers|Free Fallin' by Tom Petty & The Heartbreakers|1989
Free for All|Ted Nugent|Free for All by Ted Nugent|1977
Free Me|Roger Daltry|Free Me by Roger Daltry|
Free Ride|Edgar Winter Group|Free Ride by Edgar Winter Group|1973
Freeway Jam|Jeff Beck|Freeway Jam by Jeff Beck|1975
Freewill|Rush|Freewill by Rush|1980
Freeze-frame|J. Geils Band|Freeze-frame by J. Geils Band|1981
Frenchette|David Johansen|Frenchette by David Johansen|
Fresh Air|Quicksilver Messenger Service|Fresh Air by Quicksilver Messenger Service|
Friday on My Mind|David Bowie|Friday on My Mind by David Bowie|
Friend Of The Devil|Grateful Dead|Friend Of The Devil by Grateful Dead|1970
Friends|Led Zeppelin|Friends by Led Zeppelin|1970
Friends Of Mine|Guess Who|Friends Of Mine by Guess Who|
From Me To You|The Beatles|From Me To You by The Beatles|1963
Fuel|Metallica|Fuel by Metallica|1997
Funeral for a Friend (Love Lies Bleeding)|Elton John|Funeral for a Friend (Love Lies Bleeding) by Elton John|1973
Funk #49|James Gang|Funk #49 by James Gang|1970
Funk #49|Joe Walsh|Funk #49 by Joe Walsh|2012
Funk #49|The James Gang|Funk #49 by The James Gang|1970
Gallows Pole|Led Zeppelin|Gallows Pole by Led Zeppelin|1970
Games People Play|The Alan Parsons Project|Games People Play by The Alan Parsons Project|1981
Games Without Frontiers|Peter Gabriel|Games Without Frontiers by Peter Gabriel|1980
Get A Haircut|George Thorogood|Get A Haircut by George Thorogood|
Get Back|The Beatles|Get Back by The Beatles|1969
Get It While You Can|Janis Joplin|Get It While You Can by Janis Joplin|1971
Get Off My Cloud|Rolling Stones|Get Off My Cloud by Rolling Stones|1965
Get Off Of My Cloud|Rolling Stones|Get Off Of My Cloud by Rolling Stones|1965
Get Out of Denver|Bob Seger|Get Out of Denver by Bob Seger|
Get Together|The Youngbloods|Get Together by The Youngbloods|2005
Getting Better|The Beatles|Getting Better by The Beatles|1967
Getting In Tune|The Who|Getting In Tune by The Who|
Gimme All Your Lovin|ZZ Top|Gimme All Your Lovin by ZZ Top|1983
Gimme Back My Bullets|Lynyrd Skynyrd|Gimme Back My Bullets by Lynyrd Skynyrd|1976
Gimme Shelter|Rolling Stones|Gimme Shelter by Rolling Stones|1969
GIMME SOME LOVIN'|Spencer Davis Group|GIMME SOME LOVIN' by Spencer Davis Group|1966
Gimme Some Water|Eddie Money|Gimme Some Water by Eddie Money|
Gimme Three Steps|Lynyrd Skynyrd|Gimme Three Steps by Lynyrd Skynyrd|1973
GIRL|The Beatles|GIRL by The Beatles|1965
Girls Got Rhythm|AC/DC|Girls Got Rhythm by AC/DC|
Give a Little Bit|Supertramp|Give a Little Bit by Supertramp|1977
Give It Away|Red Hot Chili Peppers|Give It Away by Red Hot Chili Peppers|1991
Give It To Me|J. Geils Band|Give It To Me by J. Geils Band|1973
Give Me Love|George Harrison|Give Me Love by George Harrison|1973
Gloria|The Doors|Gloria by The Doors|
Gloria|Van Morrison|Gloria by Van Morrison|
Glory Days|Bruce Springsteen|Glory Days by Bruce Springsteen|1984
Go Your Own Way|Fleetwood Mac|Go Your Own Way by Fleetwood Mac|1977
God Save The Queen|Sex Pistols|God Save The Queen by Sex Pistols|1977
Godzilla|Blue Oyster Cult|Godzilla by Blue Oyster Cult|1977
Goin' up the Country|Canned Heat|Goin' up the Country by Canned Heat|1968
Going Mobile|The Who|Going Mobile by The Who|1971
Going to California|Led Zeppelin|Going to California by Led Zeppelin|1971
Gold Dust Woman|Fleetwood Mac|Gold Dust Woman by Fleetwood Mac|1977
Gold On The Ceiling|The Black Keys|Gold On The Ceiling by The Black Keys|2011
Golden Country|REO Speedwagon|Golden Country by REO Speedwagon|
Golden Slumbers|The Beatles|Golden Slumbers by The Beatles|1969
Golden Years|David Bowie|Golden Years by David Bowie|1975
Gone|The Black Crowes|Gone by The Black Crowes|
Gone Gone Gone|Bad Company|Gone Gone Gone by Bad Company|
GONNA GET YA|Pete Townshend|GONNA GET YA by Pete Townshend|
Good Clean Fun|Allman Brothers Band|Good Clean Fun by Allman Brothers Band|1990
Good Day Sunshine|The Beatles|Good Day Sunshine by The Beatles|1966
Good Friday|The Black Crowes|Good Friday by The Black Crowes|
Good Lovin' Gone Bad|Bad Company|Good Lovin' Gone Bad by Bad Company|
Good Riddance (Time Of Your Life)|Green Day|Good Riddance (Time Of Your Life) by Green Day|1997
Good Times Bad Times|Led Zeppelin|Good Times Bad Times by Led Zeppelin|1969
Good Times Roll|The Cars|Good Times Roll by The Cars|
Good Vibrations|The Beach Boys|Good Vibrations by The Beach Boys|1966
Goodbye Blue Sky|Pink Floyd|Goodbye Blue Sky by Pink Floyd|1979
Goodbye Daughters of the Revolution|The Black Crowes|Goodbye Daughters of the Revolution by The Black Crowes|2008
Goodbye Stranger|Supertramp|Goodbye Stranger by Supertramp|1979
Goodbye To Romance|Ozzy Osbourne|Goodbye To Romance by Ozzy Osbourne|1980
Goodbye Yellow Brick Road|Elton John|Goodbye Yellow Brick Road by Elton John|1973
Goodnight Saigon|Billy Joel|Goodnight Saigon by Billy Joel|1983
Got Me Under Pressure|ZZ Top|Got Me Under Pressure by ZZ Top|1983
GOT MY MIND SET ON YOU|George Harrison|GOT MY MIND SET ON YOU by George Harrison|1987
Got To Get You Into My Life|The Beatles|Got To Get You Into My Life by The Beatles|1966
Great White Buffalo|Ted Nugent|Great White Buffalo by Ted Nugent|
Green Eyed Lady|Sugarloaf|Green Eyed Lady by Sugarloaf|1970
Green Grass & High Tides|The Outlaws|Green Grass & High Tides by The Outlaws|1975
Green Onions|Booker T. and the MG's|Green Onions by Booker T. and the MG's|1962
Green River|Creedence Clearwater Revival|Green River by Creedence Clearwater Revival|1969
Grey Ghost|Henry Paul Band|Grey Ghost by Henry Paul Band|1979
Growin' Up|Bruce Springsteen|Growin' Up by Bruce Springsteen|1973
Gypsy|Fleetwood Mac|Gypsy by Fleetwood Mac|1982
Gypsy|The Moody Blues|Gypsy by The Moody Blues|
Gypsy Road|Cinderella|Gypsy Road by Cinderella|1988
Had a Dream (Sleeping With the Enemy)|Roger Hodgson|Had a Dream (Sleeping With the Enemy) by Roger Hodgson|
Hair Of The Dog|Nazareth|Hair Of The Dog by Nazareth|1975
Hand In My Pocket|Alanis Morissette|Hand In My Pocket by Alanis Morissette|1995
Hand of Fate|Rolling Stones|Hand of Fate by Rolling Stones|1976
Handle with Care|The Traveling Wilburys|Handle with Care by The Traveling Wilburys|1988
Hang Fire|Rolling Stones|Hang Fire by Rolling Stones|1981
Happy|Rolling Stones|Happy by Rolling Stones|1972
Happy Jack|The Who|Happy Jack by The Who|1966
Happy Together|Turtles|Happy Together by Turtles|1967
Hard As A Rock|AC/DC|Hard As A Rock by AC/DC|1995
Hard To Handle|The Black Crowes|Hard To Handle by The Black Crowes|1990
Harmony|Elton John|Harmony by Elton John|1973
Harvester Of Sorrow|Metallica|Harvester Of Sorrow by Metallica|1988
Hats Off To {roy} Harper|Led Zeppelin|Hats Off To {roy} Harper by Led Zeppelin|1970
Have a Cigar|Pink Floyd|Have a Cigar by Pink Floyd|1975
Have a Drink On Me|AC/DC|Have a Drink On Me by AC/DC|1980
Have You Ever Loved a Woman|Derek & The Dominos|Have You Ever Loved a Woman by Derek & The Dominos|
Have You Ever Seen the Rain?|Creedence Clearwater Revival|Have You Ever Seen the Rain? by Creedence Clearwater Revival|1971
Havin' A Party|Southside Johnny|Havin' A Party by Southside Johnny|
He Can't Love You|Michael Stanley|He Can't Love You by Michael Stanley|
Head Games|Foreigner|Head Games by Foreigner|
Head Over Heels|Tears for Fears|Head Over Heels by Tears for Fears|1985
Headed For A Heartbreak|Winger|Headed For A Heartbreak by Winger|
Heading Out To The Highway|Judas Priest|Heading Out To The Highway by Judas Priest|
Headkeeper|Dave Mason|Headkeeper by Dave Mason|
HEARD IT IN A LOVE SONG|The Marshall Tucker Band|HEARD IT IN A LOVE SONG by The Marshall Tucker Band|1977
Heard It On the X|ZZ Top|Heard It On the X by ZZ Top|1975
Heart of Glass|Blondie|Heart of Glass by Blondie|1978
Heart of Gold|Neil Young|Heart of Gold by Neil Young|1972
Heartache Tonight|Eagles|Heartache Tonight by Eagles|1979
Heartbreaker|Pat Benatar|Heartbreaker by Pat Benatar|1979
Heartbreaker|Rolling Stones|Heartbreaker by Rolling Stones|1973
Heartbreaker/living Loving Maid {she's Just A Woman}|Led Zeppelin|Heartbreaker/living Loving Maid {she's Just A Woman} by Led Zeppelin|1969
Heartless|Heart|Heartless by Heart|
Heat of the Moment|Asia|Heat of the Moment by Asia|1982
Heaven|Bryan Adams|Heaven by Bryan Adams|1984
Heaven and Hell|Black Sabbath|Heaven and Hell by Black Sabbath|1980
Heaven's On Fire|Kiss|Heaven's On Fire by Kiss|
Heavy Metal|Don Felder|Heavy Metal by Don Felder|1981
Heavy Metal|Sammy Hagar|Heavy Metal by Sammy Hagar|1982
Helen Wheels|Paul McCartney & Wings|Helen Wheels by Paul McCartney & Wings|1973
Hell in a Bucket|Grateful Dead|Hell in a Bucket by Grateful Dead|
Hell Is for Children|Pat Benatar|Hell Is for Children by Pat Benatar|1980
Hello Again|The Cars|Hello Again by The Cars|1984
Hello Goodbye|Paul McCartney & Wings|Hello Goodbye by Paul McCartney & Wings|
Hello Goodbye|The Beatles|Hello Goodbye by The Beatles|1967
Hello It's Me|Todd Rundgren|Hello It's Me by Todd Rundgren|1972
Hells Bells|AC/DC|Hells Bells by AC/DC|1980
Help!|The Beatles|Help! by The Beatles|1965
Helter Skelter|Paul McCartney & Wings|Helter Skelter by Paul McCartney & Wings|
Helter Skelter|The Beatles|Helter Skelter by The Beatles|1968
Hemorrhage|Free|Hemorrhage by Free|
Her Strut|Bob Seger|Her Strut by Bob Seger|1980
Here Comes My Girl|Tom Petty & The Heartbreakers|Here Comes My Girl by Tom Petty & The Heartbreakers|1979
Here Comes The Sun|The Beatles|Here Comes The Sun by The Beatles|1969
Here I Go Again|Whitesnake|Here I Go Again by Whitesnake|1987
Hero of the Day|Metallica|Hero of the Day by Metallica|1996
Heroes|David Bowie|Heroes by David Bowie|1977
Hey Hey What Can I Do|Led Zeppelin|Hey Hey What Can I Do by Led Zeppelin|1970
Hey Jealousy|Gin Blossoms|Hey Jealousy by Gin Blossoms|1992
Hey Joe|Jimi Hendrix|Hey Joe by Jimi Hendrix|1966
Hey Jude|The Beatles|Hey Jude by The Beatles|1968
Hey Jude (Live)|Paul McCartney & Wings|Hey Jude (Live) by Paul McCartney & Wings|
Hey Nineteen|Steely Dan|Hey Nineteen by Steely Dan|1980
Hey You|Clarks|Hey You by Clarks|
Hey You|Pink Floyd|Hey You by Pink Floyd|1979
Hi Hi Hi|Paul McCartney & Wings|Hi Hi Hi by Paul McCartney & Wings|
High Enough|Damn Yankees|High Enough by Damn Yankees|1990
Higher|Creed|Higher by Creed|1999
Higher Love|Steve Winwood|Higher Love by Steve Winwood|1986
Highway Song|Blackfoot|Highway Song by Blackfoot|
Highway Star|Deep Purple|Highway Star by Deep Purple|1972
Highway To Hell|AC/DC|Highway To Hell by AC/DC|1979
Hit Me With Your Best Shot|Pat Benatar|Hit Me With Your Best Shot by Pat Benatar|1980
Hitch A Ride|Boston|Hitch A Ride by Boston|1976
Hocus Pocus|Focus|Hocus Pocus by Focus|1971
Hold Me|Fleetwood Mac|Hold Me by Fleetwood Mac|1982
Hold On|Triumph|Hold On by Triumph|1979
Hold On Loosely|.38 Special|Hold On Loosely by .38 Special|1981
Hold The Line|Toto|Hold The Line by Toto|1978
Hold Your Head Up|Argent|Hold Your Head Up by Argent|1972
Holiday|Scorpions|Holiday by Scorpions|
Holiday (Live)|Green Day|Holiday (Live) by Green Day|2004
Holiday / Boulevard of Broken Dreams|Green Day|Holiday / Boulevard of Broken Dreams by Green Day|2004
Hollywood Nights|Bob Seger|Hollywood Nights by Bob Seger|1978
Holy Diver|Dio|Holy Diver by Dio|
Home by the Sea/Second Home by the Sea|Genesis|Home by the Sea/Second Home by the Sea by Genesis|1983
Home Sweet Home|Motley Crue|Home Sweet Home by Motley Crue|1985
Honky Cat|Elton John|Honky Cat by Elton John|1972
Honky Tonk Women|Rolling Stones|Honky Tonk Women by Rolling Stones|1969
Horizontal Bop|Bob Seger|Horizontal Bop by Bob Seger|
Hot Blooded|Foreigner|Hot Blooded by Foreigner|1978
Hot Dog|Led Zeppelin|Hot Dog by Led Zeppelin|1979
Hot for Teacher|Van Halen|Hot for Teacher by Van Halen|1984
Hot Legs|Rod Stewart|Hot Legs by Rod Stewart|
Hot Rockin'|Judas Priest|Hot Rockin' by Judas Priest|
Hot Rod Lincoln|Commander Cody|Hot Rod Lincoln by Commander Cody|1971
Hotel California|Eagles|Hotel California by Eagles|1976
Hotel Illness|The Black Crowes|Hotel Illness by The Black Crowes|
House Of Fire|Alice Cooper|House Of Fire by Alice Cooper|
House Of Living|Heartsfield|House Of Living by Heartsfield|
House Of Pain|Faster Pussycat|House Of Pain by Faster Pussycat|1990
House Of The Rising Sun|The Animals|House Of The Rising Sun by The Animals|1964
Houseparty|J. Geils Band|Houseparty by J. Geils Band|
Houses of the Holy|Led Zeppelin|Houses of the Holy by Led Zeppelin|1975
How Can I Refuse|Heart|How Can I Refuse by Heart|1983
How Long|Ace|How Long by Ace|1974
How Many More Times|Led Zeppelin|How Many More Times by Led Zeppelin|1969
How You Remind Me|Nickelback|How You Remind Me by Nickelback|2001
Hunger Strike|Temple of the Dog|Hunger Strike by Temple of the Dog|1990
Hungry Heart|Bruce Springsteen|Hungry Heart by Bruce Springsteen|1980
Hurts So Good|John Mellencamp|Hurts So Good by John Mellencamp|1982
Hush|Deep Purple|Hush by Deep Purple|1968
Hymn 43|Jethro Tull|Hymn 43 by Jethro Tull|
Hypnotized|Bob Welch|Hypnotized by Bob Welch|
Hypnotized|Fleetwood Mac|Hypnotized by Fleetwood Mac|1973
Hysteria|Def Leppard|Hysteria by Def Leppard|1987
I Alone|Live|I Alone by Live|
I Am the Walrus|The Beatles|I Am the Walrus by The Beatles|1967
I CAN SEE CLEARLY NOW|Johnny Nash|I CAN SEE CLEARLY NOW by Johnny Nash|1972
I Can See For Miles|The Who|I Can See For Miles by The Who|1968
I Can Survive|Triumph|I Can Survive by Triumph|
I Can't Drive 55|Sammy Hagar|I Can't Drive 55 by Sammy Hagar|1984
I CAN'T EXPLAIN|The Who|I CAN'T EXPLAIN by The Who|1965
I Can't Fight This Feeling|REO Speedwagon|I Can't Fight This Feeling by REO Speedwagon|1984
I Can't Hold Back|Survivor|I Can't Hold Back by Survivor|
